Compound name;Flavor profile;Fine-flavor note;Fine-flavor cocoa;Bulk cocoa;Fermentation;Drying;Roasting;America;Africa;Asia
2,3-Diethyl-5-methyl-pyrazine;Unknown;0;0;1;0;0;1;1;0;0
3,5-Diethyl-2-methyl-pyrazine;Unknown;0;0;1;0;0;1;1;0;0
(2E)-2-Nonenal;Unknown;0;0;1;0;0;1;1;0;0
Ethyl benzoate;Camomile, flower, celery, fruity;1;1;1;1;1;1;1;0;0
Terpinen-4-ol;must, pepper, turpentine, musty, woody, sweet, nutmeg, earth;0;0;1;0;0;1;1;0;0
Ethyl Octanoate;Sweet, fruity, fresh, pineapples;1;1;1;0;1;1;1;1;1
Decanal;citrus, soap, orange peel, tallow, waxy, floral, sweet, aldehydic;1;0;1;0;1;1;1;0;0
2-(5-Methyl-5-viniltetrahydro-2-furanyl)-1-propanol;Unknown;0;0;1;0;0;1;1;0;0
Ethyl phenacetate;Unknown;0;0;1;0;1;1;1;0;0
2-phenylethyl acetate;Rose, honey, tobacco, flowery, fruity, sweet;1;1;1;1;1;1;1;1;0
?-Ethylidene benzene acetaldehyde;Unknown;0;0;1;0;1;1;1;0;0
Delta-octalactone;Unknown;0;0;1;0;0;1;1;0;0
2-Undecanone;Fruity;1;1;1;1;1;1;1;0;0
1,2,3-Propanetriol triacetate;Unknown;0;0;1;0;0;1;1;0;0
5-Methyl-2-phenyl-2-hexenal;Cocoa;0;1;1;1;1;1;1;1;0
Ethyl decanoate;Pear, grape, brandy;1;0;1;1;1;1;1;0;0
Catechin ;Bitter, astringent;0;1;1;0;0;1;1;1;0
Epicatechin;Bitter, astringent;0;1;1;0;0;1;1;1;1
(?)-Epigallocatechin;Bitter, astringent;0;1;0;0;0;1;1;0;0
(?)-Gallocatechin;Bitter, astringent;0;1;0;0;0;1;1;0;0
Dimeric flavan-3-ols;Bitter, astringent;0;1;0;0;0;1;1;0;0
Procyanidin B1;Bitter, astringent;0;1;1;0;0;1;1;1;0
Procyanidin B2;Bitter, astringent;0;1;1;0;0;1;1;1;0
Luteolin;Bitter  ;0;1;1;0;0;1;1;1;1
Naringenin;Bitter  ;0;1;1;0;0;1;1;1;1
Quercetin;Bitter  ;0;1;0;0;0;1;1;0;0
Vanillic acid ;Astringent;0;1;0;0;0;1;1;1;1
Gallic acid;Astringent;0;1;0;0;0;1;1;0;0
Protocatechuic acid;Astringent;0;1;0;0;0;1;1;0;0
Caffeic acid;Astringent;0;1;0;0;0;1;1;1;1
Chlorogenic acid;Bitter  ;0;1;0;0;0;1;1;0;0
Theobromine;Bitter  ;0;1;1;0;0;1;1;1;1
Caffeine;Bitter  ;0;1;1;0;0;1;1;1;1
Theophylline;Bitter  ;0;1;1;0;0;1;1;1;0
L-tyrosine;Bitter  ;0;1;1;0;0;1;1;1;0
L-?-phenylalanine;Bitter  ;0;1;0;0;0;1;1;0;0
Tryptophan;Bitter  ;0;1;0;0;0;1;1;0;0
5-hydroxy-DL-tryptophan;Unknown;0;1;0;0;0;1;1;0;0
Serotonin;Unknown;0;1;1;0;0;1;1;1;0
Tryptamine;Unknown;0;1;1;0;0;1;1;1;0
Tyramine;Unknown;0;1;1;0;0;1;1;1;0
Salsolinol;Unknown;0;1;1;0;0;1;1;1;0
Isovaleric acid;Sweat, rancid;0;1;1;1;1;1;1;1;1
2-Heptanol ;Citrus, fruity, lemon grass;1;1;1;1;1;1;1;1;0
2-Nonanol ;Citrus, orange, waxy;1;1;0;1;0;1;1;0;0
2,3-Butanediol ;Natural odor of cocoa butter;1;1;1;1;1;1;1;0;0
Phenylethyl alcohol ;Floral, honey;1;1;0;1;1;1;1;0;0
Methyl acetate ;Fruity, pear;1;1;1;1;1;1;1;1;1
Ethyl acetate ;Ethereal solvent, sweet, pineaple;1;1;0;1;1;1;1;1;1
Ethyl octanoate ;Fruity, floral;1;1;0;1;0;1;1;0;0
2-Pentanol acetate ;Sweet, honey, jasmine;1;1;1;0;0;1;1;1;1
Isoamyl acetate ;Fruity, banana;1;1;1;1;1;1;1;1;0
Ethylphenyl acetate ;Fruity, sweet;1;1;0;1;1;1;1;1;1
Trans-? -ocimene ;Floral, herbal;1;1;0;0;0;1;1;0;0
Trans-linalool oxide ;Floral, citrus, sweet, earthy;1;1;1;0;0;1;1;1;0
2-Pentanone ;Fruit;1;1;1;1;0;1;1;1;0
2-Heptanone ;Fruity, coconut, cheesy, floral;1;1;0;0;0;1;1;1;1
2-Nonanone ;Fruity, fresh, sweet;1;1;0;0;0;1;1;0;0
Acetophenone ;Floral;1;1;1;1;1;1;1;1;0
3-Hydroxybutanone (acetoin) ;Buttery, creamy;0;1;0;1;1;1;1;1;1
Methylpyrazine ;Nutty, chocolate, cocoa, roast;1;1;1;1;0;1;1;1;0
Ethylpyrazine ;Peanut butter, musty, nutty;1;1;0;0;0;1;1;0;0
Tetramethylpyrazine ;Chocolate, cocoa, coffee;1;1;0;0;0;1;1;0;0
